Participant,Rank,Votes For,1st to 2nd,Total Votes,% of Votes,Date of OG Poll
A squad of Helldivers,32,5.0,1.0,10.0,50%,1-13-2025
Hideo Kojima,23,5.0,2.0,9.0,56%,1-14-2025
Sir Topham Hatt,40,4.0,1.0,9.0,44%,1-15-2025
"Mario, the Idea",76,3.0,1.0,9.0,33%,1-16-2025
Shadow the Hedgehog,14,6.0,3.0,10.0,60%,1-16-2025
Space Colony ARK,60,4.0,1.0,10.0,40%,1-17-2025
Samurai Jack,41,4.0,1.0,9.0,44%,1-18-2025
Great King of Evil Ganondorf,61,4.0,1.0,10.0,40%,1-19-2025
Silver the Hedgehog,35,5.0,1.0,11.0,45%,1-21-2025
4 Glasses of Wine (3 Poisoned),47,4.0,0.0,9.0,44%,1-21-2025
Dr. Bowser,46,4.0,0.0,9.0,44%,1-21-2025
TF2 Scout's Search History,30,5.0,2.0,10.0,50%,1-22-2025
Option 4,11,5.0,2.0,8.0,63%,1-23-2025
Spider Man,65,4.0,0.0,10.0,40%,1-23-2025
Mordecai and Rigby,66,4.0,0.0,10.0,40%,1-23-2025
Luigi,16,5.0,3.0,9.0,56%,1-24-25
JackieTheMace with an AK47,6,8.0,5.0,11.0,73%,1-25-25
Waluigi (with a Golf Club),4,7.0,5.0,9.0,78%,1-26-25
Bob the Builder,12,5.0,2.0,8.0,63%,1-27-25
Pepsiman,8,7.0,4.0,11.0,64%,1-28-25
Sans Undertale,90,3.0,0.0,11.0,27%,1-29-15
Mumbo Jumbo,89,3.0,0.0,11.0,27%,1-29-25
Ronku D. Onkulous,91,3.0,0.0,11.0,27%,1-29-25
Joe Biden,63,4.0,1.0,10.0,40%,1-30-25
A man in a forklift with a Pistol,62,4.0,1.0,10.0,40%,1-30-25
Man,26,6.0,1.0,11.0,55%,1-31-25
Steve Harvey,36,5.0,1.0,11.0,45%,2-1-25
Joker Card (Balatro),33,4.0,0.0,8.0,50%,2-10-25
Goku (with a Heart Virus),34,4.0,0.0,8.0,50%,2-10-25
7 bald men with wood planks,3,7.0,6.0,9.0,78%,2-11-25
Samuel L Jackson,74,4.0,0.0,11.0,36%,2-12-25
Mug Root Beer,75,4.0,0.0,11.0,36%,2-12-25
Kool-Aid Man,20,5.0,3.0,9.0,56%,2-13-25
Surge the Tenrec,69,3.0,1.0,8.0,38%,2-13-25
Bob the Tomato,42,4.0,1.0,9.0,44%,2-14-25
A Dollar Bill (full legal name Dollar William),28,6.0,2.0,12.0,50%,2-15-25
Sonic 3 vocoded to Megalovania,13,6.0,4.0,10.0,60%,2-16-25
Penguins of Madagascar,29,6.0,2.0,12.0,50%,2-17-25
A man in Convertible with 17 Empty Pizza Boxes,43,4.0,1.0,9.0,44%,2-18-25
The Pope,92,2.0,0.0,8.0,25%,2-19-25
Doomguy,93,2.0,0.0,8.0,25%,2-19-25
Jon Arbuckle,94,2.0,0.0,8.0,25%,2-19-25
Coconut Mall,95,2.0,0.0,8.0,25%,2-19-25
Ryomen Sukuna,64,4.0,1.0,10.0,40%,2-2-25
Crash Bandicoot,54,3.0,0.0,7.0,43%,2-20-25
Every Jeopardy Contestant Ever,55,3.0,0.0,7.0,43%,2-20-25
Mees (with 3 Swords),1,6.0,5.0,7.0,86%,2-20-25
Green Eggs and Ham,57,3.0,0.0,7.0,43%,2-21-25
The Lorax,56,3.0,0.0,7.0,43%,2-21-25
Kenny (South Park),21,5.0,3.0,9.0,56%,2-22-25
Team Chaotix,44,4.0,1.0,9.0,44%,2-23-25
Micheal Jackson,79,3.0,0.0,9.0,33%,2-24-25
Donald Glover,81,3.0,0.0,9.0,33%,2-24-25
Glover,80,3.0,0.0,9.0,33%,2-24-25
Annual Gorilla,51,4.0,0.0,9.0,44%,2-25-25
Nicole Watterson,50,4.0,0.0,9.0,44%,2-25-25
Gordon Ramsay,87,2.0,0.0,7.0,29%,2-26-25
"The Population of Rome, Italy",88,2.0,0.0,7.0,29%,2-26-25
Poisoned Pasta,86,2.0,0.0,7.0,29%,2-26-25
Queen Elizabeth,27,6.0,1.0,11.0,55%,2-27-25
Popeye Infinite Spinach,25,6.0,3.0,11.0,55%,2-28-25
Mecha-Godzilla,68,4.0,0.0,10.0,40%,2-3-25
Louis Armstrong,67,4.0,0.0,10.0,40%,2-3-25
Solid Snake,17,5.0,3.0,9.0,56%,2-4-25
LeBron James (with Death Note),2,10.0,9.0,12.0,83%,2-5-25
Joseph Joestar,37,4.0,2.0,9.0,44%,2-6-25
Stan Smith American Dad,78,3.0,0.0,9.0,33%,2-6-25
Dog from Duck Hunt,77,3.0,0.0,9.0,33%,2-6-25
Scrooge McDuck,18,5.0,3.0,9.0,56%,2-7-25
Thomas the Tank Engine,48,4.0,0.0,9.0,44%,2-8-25
TomSka,49,4.0,0.0,9.0,44%,2-8-25
LucTheSlug w/ Crossbow,19,5.0,3.0,9.0,56%,2-9-25
A Link Cable,83,3.0,0.0,9.0,33%,3-1-25
Link (The Faces of Evil),82,3.0,0.0,9.0,33%,3-1-25
Guy Fieri,38,4.0,2.0,9.0,44%,3-1-25
Frank Sinatra,58,3.0,0.0,7.0,43%,3-1-25
Frank Reynolds (Danny DeVito),59,3.0,0.0,7.0,43%,3-1-25
A really cool guy with a Trombone,7,6.0,4.0,9.0,67%,3-10-25
Lou Albano,39,4.0,2.0,9.0,44%,3-10-25
Cheetozard,15,4.0,1.0,7.0,57%,3-11-25
Dr. Doofenshmirtz,10,5.0,3.0,8.0,63%,3-12-25
Markiplier,5,6.0,4.0,8.0,75%,3-13-25
English Football Team (+ Crowd),73,3.0,0.0,8.0,38%,3-13-25
Purple Guy,72,3.0,0.0,8.0,38%,3-13-25
Squidward,84,3.0,0.0,9.0,33%,3-14-25
Mr. Krabs,85,3.0,0.0,9.0,33%,3-14-25
Bugs Bunny,22,5.0,3.0,9.0,56%,3-2-25
Morshu,9,7.0,3.0,11.0,64%,3-3-25
7 Nuclear Missile Strikes,45,4.0,1.0,9.0,44%,3-4-25
Rathalos,52,3.0,1.0,7.0,43%,3-5-25
Rocket Raccoon,53,3.0,1.0,7.0,43%,3-7-25
Super Mario 64 (the Game),70,3.0,1.0,8.0,38%,3-7-25
Mewtwo (Genesect Movie),31,4.0,2.0,8.0,50%,3-7-25
Seth (Street Fighter),71,3.0,1.0,8.0,38%,3-7-25
The Main Cast of JoJo Part 4,24,5.0,2.0,9.0,56%,3-9-25
