Participant Translation Input,Participant Translation Output,,,Translation User ID,Voters
Jack Skellington,Jack Skellington,,,539398894178664448,MangleSlash
Annoying Apple,Annoying Apple,,,964331185184571483,Shishifinfin
MangleSlash,MangleSlash,,,480108926529044480,FrozenReality
Jules with a Steel Chair,Jules with a Steel Chair,,,755104081260839043,LuigiDawg
Every Rat in Paris,Every Rat in Paris,,,327420085151072266,Jackie
London Bridge (it is falling down),London Bridge (it is falling down),,,202488665719570443,Ronku
LuigiDawg's Dad,LuigiDawg's Dad,,,956906745257664532,Toadeight
Sonic the Hedgehog,Sonic the Hedgehog,,,379242958526087168,Mees
Freddie Mercury,Freddie Mercury,,,916444663337091083,Matrim
An Apple Shaped Hole in the Wall,An Apple Shaped Hole in the Wall,,,629184977959125033,Milo
Three Million Twitch Chatters in a Trench Coat,Three Million Twitch Chatters in a Trench Coat,,,225688977099718659,Luc
The Landmass of Portugal,The Landmass of Portugal,,,694263534883831918,Honch
The Snire,The Snire,,,841964877575880714,Honch
Jotaro Kujo,Jotaro Kujo,,,683795707198570527,Berry
1 of every Kanto Pokemon,1 of every Kanto Pokemon,,,785197484108414988,Jules
One Apple,One Apple,,,912277064420323348,InfiNate
A Slowly Flooding Apartment Building,A Slowly Flooding Apartment Building,,,170616030387765248,Chaspyr
Dante (Devil May Cry),Dante (Devil May Cry),,,423899159439867905,Monark
Perry the Platypus,Perry the Platypus,,,1192211863077924914,Kibblestone
Tony Soprano,Tony Soprano,,,271549045275754496,Quokka
Applin,Applin,,,459461882873643009,Blaze
Link (Twilight Princess),Link (Twilight Princess),,,1137860544464957460,Bow
Bill Nye,Bill Nye,,,726522129087987742,Mahoraga
Every Single Belmont in the Castlevania series,Every Single Belmont in the Castlevania series,,,236911768343937036,Shdww
Mewtwo,Mewtwo,,,292342827067768832,Danpire
A Photo of an Apple,A Photo of an Apple,,,331842608429006848,ultra robin
The Fog,The Fog,,,,
Reggie Fils-Aime,Reggie Fils-Aime,,,,
Dr. Crygor,Dr. Crygor,,,,
ShdwwDrgnn (but an actual dragon),ShdwwDrgnn (but an actual dragon),,,,
1 Cherry Apple,1 Cherry Apple,,,,
Tow Mater,Tow Mater,,,,
Evil Frozen,Evil Frozen,,,,
Dr. Metal Mario,Dr. Metal Mario,,,,
Arceus,Arceus,,,,
Nintendo Lawyer Ninjas,Nintendo Lawyer Ninjas,,,,
A Math Test,A Math Test,,,,
The All New Ford F-150,The All New Ford F-150,,,,
The Spanish Inquisition,The Spanish Inquisition,,,,
Burger King,Burger King,,,,
A Bucket of Fish,A Bucket of Fish,,,,
A Paper Cut,A Paper Cut,,,,
Muscle Man,Muscle Man,,,,
JaidenAnimations,JaidenAnimations,,,,
Kento Nanami,Kento Nanami,,,,
Metal Sonic,Metal Sonic,,,,
Gordon Freeman,Gordon Freeman,,,,
A man in a Blimp with Infinite Pianos,A man in a Blimp with Infinite Pianos,,,,
