VOID POLL DATA,Participant,Rank,Votes For,1st to 2nd,Total Votes,% of Votes,# of Battles Won,Date of OG Poll
,A squad of Helldivers,32,5,1,10,50%,1,2025-01-13
,Hideo Kojima,23,5,2,9,56%,1,2025-01-14
,Sir Topham Hatt,40,4,1,9,44%,1,2025-01-15
,Shadow the Hedgehog,14,6,3,10,60%,1,2025-01-16
,"Mario, the Idea",76,3,1,9,33%,1,2025-01-16
,Space Colony ARK,60,4,1,10,40%,1,2025-01-17
,Samurai Jack,41,4,1,9,44%,1,2025-01-18
,Great King of Evil Ganondorf,61,4,1,10,40%,1,2025-01-19
,Silver the Hedgehog,35,5,1,11,45%,1,2025-01-21
,Dr. Bowser,46,4,0,9,44%,1,2025-01-21
,4 Glasses of Wine (3 Poisoned),47,4,0,9,44%,1,2025-01-21
,TF2 Scout's Search History,30,5,2,10,50%,1,2025-01-22
,Option 4,11,5,2,8,63%,1,2025-01-23
,Spider Man,65,4,0,10,40%,1,2025-01-23
,Mordecai and Rigby,66,4,0,10,40%,1,2025-01-23
,Luigi,16,5,3,9,56%,1,2025-01-24
,JackieTheMace with an AK47,6,8,5,11,73%,1,2025-01-25
,Waluigi (with a Golf Club),4,7,5,9,78%,1,2025-01-26
,Bob the Builder,12,5,2,8,63%,1,2025-01-27
,Pepsiman,8,7,4,11,64%,1,2025-01-28
,Mumbo Jumbo,89,3,0,11,27%,1,2025-01-29
,Sans Undertale,90,3,0,11,27%,1,2025-01-29
,Ronku D. Onkulous,91,3,0,11,27%,1,2025-01-29
,A man in a forklift with a Pistol,62,4,1,10,40%,1,2025-01-30
,Joe Biden,63,4,1,10,40%,1,2025-01-30
,Man,26,6,1,11,55%,1,2025-01-31
,Steve Harvey,36,5,1,11,45%,1,2025-02-01
,Ryomen Sukuna,64,4,1,10,40%,1,2025-02-02
,Louis Armstrong,67,4,0,10,40%,1,2025-02-03
,Mecha-Godzilla,68,4,0,10,40%,1,2025-02-03
,Solid Snake,17,5,3,9,56%,1,2025-02-04
,LeBron James (with Death Note),2,10,9,12,83%,1,2025-02-05
,Joseph Joestar,37,4,2,9,44%,1,2025-02-06
,Dog from Duck Hunt,77,3,0,9,33%,1,2025-02-06
,Stan Smith American Dad,78,3,0,9,33%,1,2025-02-06
,Scrooge McDuck,18,5,3,9,56%,1,2025-02-07
,Thomas the Tank Engine,48,4,0,9,44%,1,2025-02-08
,TomSka,49,4,0,9,44%,1,2025-02-08
,LucTheSlug w/ Crossbow,19,5,3,9,56%,1,2025-02-09
,Joker Card (Balatro),33,4,0,8,50%,1,2025-02-10
,Goku (with a Heart Virus),34,4,0,8,50%,1,2025-02-10
,Seven Balding Men wielding planks of wood,3,7,6,9,78%,1,2025-02-11
,Samuel L Jackson,74,4,0,11,36%,1,2025-02-12
,Mug Root Beer,75,4,0,11,36%,1,2025-02-12
,Kool-Aid Man,20,5,3,9,56%,1,2025-02-13
,Surge the Tenrec,69,3,1,8,38%,1,2025-02-13
,Bob the Tomato,42,4,1,9,44%,1,2025-02-14
,A Dollar Bill (full legal name Dollar William),28,6,2,12,50%,1,2025-02-15
